,account_name,username,post_date,tweet
14,Candy TaeTae,@LoconT4e,2021-12-03T07:00:23.000Z,and others nih kampus sudah anggan pihak ke para babi mesum jadi menteri didik dan budaya mending buru sikat bersih saja itu kampus daripada makin banyak mahasiswawi yang jadi korban leceh seksual
15,samancha,@jeankirsteam,2021-12-03T06:58:46.000Z,tau sexual harassment bayang deh sudah korban leceh seksual sulit juga kuliah sama kampus gue ratain juga nih dunia
16,UNSR! ,@unsrifess,2021-12-03T06:07:52.000Z,seru aksi kawal yudisium korban leceh seksual lucu sekali kampus ini unsr the ikut media includes potentially sensitive content change settings view
17,Gerakan Perempuan UNJ,@Gerpuan_unj,2021-12-03T06:00:09.000Z,ayo dorong cepat bentuk satu tugas wujud kampus aman dan bebas keras seksual
18,ely,@ichigummmy,2021-12-03T05:25:39.000Z,kampus di indonesia kenapa pada ramah predator seksual fuck area julid h diskualifikasi tbl tbl tbl kasiiaaaan bgtttttt korban malah lebih jadi korban
19,"Cek Turnitin 2k, Dapus Mendeley, Daftar Isi",@CekTurnitin2,2021-12-03T04:16:50.000Z,maaf oot di sini boleh spill masalah kasus leceh seksual kampus tidak kalau misal boleh mau tidak saya titpin menfess sudah miris banget asli sudah lama ini saya kawal lewat jalur belakang tetapi kali ini saya mau terangterangan sudah tidak benar ini
20,iNews,@OfficialiNewsTV,2021-12-03T04:09:43.000Z,saksi inews siang lagi leceh seksual di kampus jumat desember hanya di inews
21,Timo,@callmetimo,2021-12-02T14:13:55.000Z,bacabaca review salin cahaya yang nyata bahas keras seksual di lingkung kampus arti cocok banget sama konteks permendikbud no tahun ya
22,BEM FMIPA UNRI,@bemfmipaunri,2021-12-02T13:40:38.000Z,norma agama sumber suherman a aryani l yulyana e analisis fungsi atur menteri didik budaya riset dan teknologi nomor tahun dalam cegah keras seksual di kampus jurnal ilmiah wahana didik sekian jurnal
23,BEM FMIPA UNRI,@bemfmipaunri,2021-12-02T13:40:03.000Z,seksual di ranah kampus pro dan kontra pun tidak elak antara dua cara filosofis bentuk ppks nilai masih jalur meski dapat gelintir pasal yang nilai tentang falsafah pancasila dan buka undang undang dasar namun banyak kandung poin adil
24,BEM FMIPA UNRI,@bemfmipaunri,2021-12-02T13:39:30.000Z,atur menteri didik budaya riset dan teknologi nomor tahun dalam cegah keras seksusal di kampus selamat baca marak kasus keras seksual di ranah guru tinggi akibat kemendikbudristek ri lahir regulasi yang nama dw
25,Clapeyron UGM,@MediaClapeyron,2021-12-02T13:02:59.000Z,lalu apakah permendikbud ini memang penting untuk hapus keras seksual di lingkung kampus seperti yang harap atau malah jadi prahara karena anggap legal seks bebas yuk simak lengkap opini ini pada taut ikut karib ekspres serta kembang agam potensi
26,Clapeyron UGM,@MediaClapeyron,2021-12-02T13:02:57.000Z,meski bukan rupa isu baru ihwal kait keras seksual tetap harus segera selesai belum peristiwa ini normalisasi di kampuskampus di indonesia
27,Clapeyron UGM,@MediaClapeyron,2021-12-02T13:02:57.000Z,kasus ini benar sudah bukan kasus baru lagi akan tetapi belakang ini kasus kena isu leceh seksual kembali jadi buah bibir lantar jadi leceh seksual yang baru saja alami oleh mahasiswi di lingkung kampus
28,PSIK ITB,@PSIKITB,2021-12-02T11:23:34.000Z,kampus yang harus jadi tempat aman bagi mahasiswa kini hantu oleh bayangbayang leceh seksual ketika nama baik kampus lebih penting daripada usut tindak asusila saat itu kita tahu bahwa kultur sosial dan sistem hukum di indonesia sedang prihatin
29,Kompas Muda,@kompasmuda,2021-12-02T11:02:42.000Z,ini adalah atur tentang cegah keras seksual di kampus
30,Kompas Muda,@kompasmuda,2021-12-02T11:00:02.000Z,korban keras seksual sering kali jadi silent korban karena rasa tidak ada lindung hukum nah benar ada atur apa saja yang isi tentang cegah keras seksual di kampus cek di sini
31,kumparan,@kumparan,2021-12-02T01:44:05.000Z,simak upaya yang dapat laku untuk berantas keras seksual di kampus
32,Mujahid Dakwah Com,@mujahiddakwah,2021-12-01T22:57:15.000Z,sekularisme dan jahat seksual di kampus lewat mujahid dakwah pers media islam artikel dakwah berita dunia islam jihad media palestina indonesia kabar umat ghazwul fikr khazanah dan sejarah adab islam
33,Rachmadin Ismail,@madin_ismail,2021-12-01T21:31:20.000Z,kami ingin ikut kontribusi kait isu keras seksual di kampus ikut kumpul artikel kait trauma psikologis sampai tips lawan laku moga manfaat halo sehat korban keras seksual bisa alami trauma keri lawan laku lindung korban
34,Pojokjakarta.com,@Pojokjakarta_,2021-12-01T18:16:27.000Z,rantai jahat seksual kampus bisa berantas bisa berantas barubaru ini kabar orang mahasiswa di unsri lapor polisi atas kasus leceh seksual yang alam saat bimbing skripsi ini adalah salah satu rantai jahat seksual kampus
35,MARQUEZ,@MARQUEZ__93,2021-12-01T17:04:56.000Z,dosen bejat pak jangan hanya ada sanksi administratif saja pecat tidak hormat mahasiswi universitas sriwijaya unsri korban duga leceh seksual hadir polisi daerah sumatra selatan saat olah tempat jadi perkara di kampus unsri indralaya ogan ilir dari menang hingga dengar dari kamu
36,Dewan Mahasiswa Fisipol UGM,@demafisipol_ugm,2021-12-01T15:36:14.000Z,unitunit tangan dan cegah keras seksual di ugm dan prosedur lapor halo kawan dema dalam upaya wujud kampus yang aman dari keras seksual dapat beberapa unit tangan dan cegah keras seksual di ugm lah
37,Rew-B,@rubyastari,2021-12-01T15:07:14.000Z,para dosen di jumlah universitas yang gabung dalam serikat ajar hak asasi manusia nyata dukung pada perintah untuk henti keras seksual di kampus
38,IDN Times,@idntimes,2021-12-01T09:02:00.000Z,kasus keras seksual di kampus banyak temu menteri didik budaya riset dan teknologi mendikbudristek nadiem makarim kata banyak persen dosen aku ada tindak keras seksual jadi di kampus
39,rinii haloho,@riniihaloho,2021-12-01T08:44:56.000Z,leceh seksual di kampus ada yang tidak kalah seram adalah leceh di indekos oleh bapak kos apa lagi kalau ibukosnya denial ntk jaga nama baik suami
40,LPM INTR-O | MAJALAH EDISI TUJUH TELAH TERBIT!!,@lpmintro,2021-12-01T08:22:21.000Z,apakah ulm hadap fenomena rupa bagaimana tanggap civitas akademika kena fenomena sebut saksi lengkap di realita langkah kampus rang predator seksual
41,LPM INTR-O | MAJALAH EDISI TUJUH TELAH TERBIT!!,@lpmintro,2021-12-01T08:22:20.000Z,belakang ini isu kena kasus leceh seksual di lingkung kampus makin sorot dan jadi bincang hangat realita tak indah harap lingkung kampus yang harus jadi tempat yang aman dan senang bagi mahasiswa justru jadi hal yang balik views
42,𝑨𝒌𝒊𝒗𝒂 @ H-1 ULTAH!!!,𝑨𝒌𝒊𝒗𝒂 @ H-1 ULTAH!!!,2021-12-01T07:44:48.000Z,gue emosi deh sama orang yang sok sok komen di instagram pas jadi keras seksual di kampus jadi padahal dia juga predator
43,COLLE | CEK LIKES,@collegemenfess,2021-12-01T07:30:27.000Z,cuma hai ada yang bisa bantu isi kuisioner tentang leceh seksual di lingkung kampus nanti linknya aku taruh di komen ya atau aku direct message makasiii
44,khadijah almuhdor,@khadijahmuhdor,2021-12-01T06:52:38.000Z,bangga lihat organisasi mahasiswa dengan tegas mecatin anggota yang bukti laku tindak keras seksual soal kalau di tingkat rektorat masih sibuk jaga nama baik kampus
45,kondedotco,@konde_co,2021-12-01T05:50:57.000Z,para dosen di jumlah universitas yang gabung dalam serikat ajar hak asasi manusia nyata dukung pada perintah untuk henti keras seksual di kampus
46,KalderaNews,@kalderanews,2021-12-01T05:50:30.000Z,keras seksual di kampus seperti puncak gunung es ayo lapor ayo lapor ppks di guru tinggi pt
47,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:30:58.000Z,yuk temanteman swipe foto di atas untuk cari tahu lebih lanjut kena marak keras seksual di kampus narahubung fella pantau terus lini masa kami instagram line pikr rumah panda sama gapai cita
48,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:30:10.000Z,apa benar definisi dari keras seksual apa saja bentuk keras seksual bagaimana peran kampus serta mahasiswa untuk cipta suasana kampus yang bebas dari keras seksual
49,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:29:48.000Z,kena apa saja giat yang masuk keras seksual untung perintah akhir terbit permendikbud no tahun yang cakup segala hal yang hubung dengan keras seksual di kampus
50,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:28:04.000Z,reprovide marak keras seksual di lingkung kampus barubaru ini kita kejut oleh kasus keras seksual yang jadi di salah satu kampus di indonesia
51,BEM UI,@BEMUI_Official,2021-11-30T13:15:44.000Z,sah permendikbud ppks atas jawab dari urgensi tangan keras seksual dalam lingkung kampus timbul banyak pro dan kontra dari bagai pihak
52,WAHANANEWS PAPUA,@PapuaWahananews,2021-11-30T11:13:59.000Z,sama cipta kampus yang bebas keras seksual keras seksual dapat jadi baik di ranah domestik maupun publik tak kecuali di institusi didik
53,WAHANANEWS PAPUA,@PapuaWahananews,2021-11-30T11:13:37.000Z,sama cipta kampus yang bebas keras seksual keras seksual dapat jadi baik di ranah domestik maupun publik tak kecuali di institusi didik
54,TII,@the_indonesian,2021-11-30T02:17:55.000Z,langkah maju tangan keras seksual di kampus menteri didik budaya riset dan teknologi mendikbudristek nadiem anwar makarim teken atur menteri didik budaya riset dan
55,hukum kep1er,@tinderberjalan,2021-11-30T01:58:40.000Z,ada saja deh laku salah satu orang normalisasi keras seksual di kampus dengan batas dosen juga manusia punya nakal dan sangenya mending cuek saja atauga omong baikbaik
56,Harian Kompas,@hariankompas,2021-11-30T01:30:00.000Z,kasus keras seksual di kampus seperti puncak gunung es yang sangat dingin dan sulit pecah akar masalah bahkan korban jadi silent korban karena tidak ada lindung hukum bahkan korban jadi silent korban karena tidak ada lindung hukum
57,BaleBengong,@BaleBengong,2021-11-29T23:10:17.000Z,kabar baru jaga nama baik kampus dengan tangan kasus keras seksual by juni p
59,MediaMonitoring,@mediamonitor21,2021-11-29T21:51:13.000Z,puncak gunung es keras seksual di kampus bahkan korban jadi silent korban karena tidak ada lindung hukum
60,Rendy Siregar,@RendySiregar90,2021-11-29T19:04:17.000Z,maka dari itu permendikbud nomor jadi langkah terang bagi resah akan masalah leceh dan keras di guru tinggi mari jadi kampus bagai ruang aman jangan takut untuk lapor kasus leceh dan keras seksual
61,Arief Setiawan II,@Arief_2792,2021-11-29T15:24:10.000Z,and karena salah satu syarat akreditasi kampus yang baik adalah kampus sebut aman dari leceh seksual
62,Arief Setiawan II,@Arief_2792,2021-11-29T15:23:35.000Z,and tentu saja bisa karena salah satu syarat akreditasi kampus yang baik adalah kampus sebut aman dari leceh seksual seperti yang laku oleh habib rizieq kepada firza husein beberapa tahun silam
63,The Conversation Indonesia,@ConversationIDN,2021-11-29T05:01:17.000Z,permendikbudristek ppks adalah momentum baru bagi upaya berantas keras seksual di kampus apa yang ubah bagaimana kampus bisa mulai terap di episode ini kami obrol dengan lidwina inge dosen hukum dan gender di siabad
64,BaleBengong,@BaleBengong,2021-11-29T04:25:30.000Z,unud sangat mungkin jadi di kampus lain apakah tangan unud bisa apa pers akademika seluruh isi tulis ini telah terbit atas izin sintas kasus keras seksual kembali ungkap di universitas udayana bal tidak sedikit lapor jumlah kasus namun langkah
65,MNC College,@mnc_college,2021-11-29T02:43:05.000Z,hi mnc pals lingkung kampus yang aman dan nyaman pasti jadi impi tiap civitas akademika guru tinggi dengan lingkung yang kondusif aktivitas kampus pasti dapat jalan dengan lebih baik pals yuk kita cipta suasana kampus yang bebas dari keras seksual
66,JPNN.com,@jpnncom,2021-11-29T00:05:02.000Z,kami diy sebut permendikbudristek tentang cegah dan tangan keras seksual ppks di kampus masalah kami diy tolak permendikbudristek ppks kami diy sebut permendikbudristek tentang cegah dan tangan keras seksual ppks di kampus masalah
67,cstempodotco,@cstempodotco,2021-11-28T23:20:07.000Z,koran tempo senin november berita utama gunung es keras seksual di kampus baca berita lengkap situs
68,Tuty Herawati,@TutyHer4ww,2021-11-28T21:58:22.000Z,dukung permendikbud ristek tentang ppks di lingkung guru tinggi permen ini jadi langkah awal untuk lawan keras seksual di kampus dan lindung sintas serta beri akses adil bagi sintas
69,medcom_id,@medcom_id,2021-11-28T08:13:52.000Z,perlu ada mekanisme lapor keras seksual dan rundung di kampus perlu ada upaya sama dari tiap elemen kampus
70,Catur Priono,@CaturPriono6,2021-11-28T08:08:12.000Z,saksi live terbit permendikbud tuai banyak pro kontra perintah klaim permendikbud ini untuk kurang keras seksual yang belakang marak di kampuskampus sementara pihak yang kontra tuding permendikbud ini punya potensi untuk legal
71,IDN Times Jabar,@IDNTimesJabar,2021-11-28T08:06:32.000Z,lingkung kampus harus tetap aman dari preadator seksual
72,txtfromMIWF,@makassarwriters,2021-11-28T07:21:40.000Z,buat kamu di malu nusa tenggara dan bal webinar goes to kampus sama cipta kampus yang bebas dari keras seksual akan gelar
73,Bali Women Crisis Centre (BWCC),@LBHBWCC,2021-11-28T06:30:42.000Z,dukung permendikbud ristek tentang ppks di lingkung guru tinggi permen ini jadi langkah awal untuk lawan keras seksual di kampus dan lindung sintas serta beri akses adil bagi sintas
74,Suryanto,@Suryant33165310,2021-11-28T06:21:38.000Z,saksi live terbit permendikbud tuai banyak pro kontra perintah klaim permendikbud ini untuk kurang keras seksual yang belakang marak di kampuskampus sementara pihak yang kontra tuding permendikbud ini punya potensi untuk legal
75,COLLEGE / KAMPUS BASE,@schcampus,2021-11-27T13:22:47.000Z,diskusi panel arah sudah negara lindung korban leceh seksual halo anak muda indonesia marak jadi leceh seksual baik hadap perempuan maupun lakilaki lalu bagaimana aparat tegak hukum tangan kasus leceh seksual
76,KABARWARGA.COM FOR SALE!!,@kabarwarga,2021-11-27T11:58:37.000Z,permendikbudristek ppks apa manfaat bagi berantas keras seksual di kampus apa manfaat bagi berantas keras seksual di kampus nadiem makarim terbit atur menteri didik budaya riset dan teknologi nomor tahun tentang cegah dan tangan keras
77,Gerakan Perempuan UNJ,@Gerpuan_unj,2021-11-27T11:32:57.000Z,sudah tahu permendikbud no yuk ikut webinar yang ada oleh uptlbk unj untuk tahu lebih jauh dengan tema keras seksual di kampus apa yang dapat kita laku catat tanggal haritanggal senin november pukul waktu indonesia bagi barat
78,Moesa J Perangin-angin,@moesa_jp02,2021-11-27T10:32:44.000Z,ringkus predator seksual kampus full version mata najwa full version mata najwa kasus keras seksual di kampus ibarat fenomena gunung es dari relasi kuasa yang timpang kurang dukung dan payung hukum yang belum komprehensif
79,Redaksi9,@Redaksi09,2021-11-27T09:09:49.000Z,news nyata sikap rektor universitas udayana kait isu keras seksual di lingkung kampus rektor unud prof dari insinyur i nyoman gede antara ipu damping oleh wakil rektor bida
80,Catur Priono,@CaturPriono6,2021-11-27T08:53:56.000Z,saksi live terbit permendikbud tuai banyak pro kontra perintah klaim permendikbud ini untuk kurang keras seksual yang belakang marak di kampuskampus sementara pihak yang kontra tuding permendikbud ini punya potensi untuk legal
81,maryam.bicara,@MaryamBicara,2021-11-27T06:14:46.000Z,jaga anakanak kalian predator seks yang sembunyi di balik ranah intelektual sedang liar aneh ya di kampuskampus lain sangka leceh seksual itu sudah nonaktif tapi apa yang bisa kita harap di sini ruang aman bagi perempuan memang benarbenar nihil
82,Regina Bonafida,@RBonafida,2021-11-26T15:58:47.000Z,topik utama permendikbud ristek adalah cegah kekeraasaan seksual di lingkung kampus atur itu bukan arti tindak asusila di luar kampus benar pro didik
83,medcom_id,@medcom_id,2021-11-26T14:34:05.000Z,sebab keras seksual marak jadi di kampus
84,Heru Prasetia,@heruyaheru,2021-11-26T13:51:31.000Z,awal dimzoom hapus keras seksual di kampus sama
85,Bank Ecaq,@bank_ecaq,2021-11-26T13:51:15.000Z,and justru belok cegah keras seksual ke biar sex bebas itu logical fallacy tidak pernah ada orang yang bisa bebas buat sex di kampus tanpa hukum jika tahu
86,Yayasan Tunggadewi,@_Tunggadewi_,2021-11-26T13:05:23.000Z,keras seksual rupa tindak jahat yang luar biasa yang akibat sengsara bagi korban cara fisik seksual dan psikologis keras seksual bisa jadi mana bahkan di guru tinggi minim adu korban keras seksual di kampus komnasperempuan
87,HIMAKI FMIPA UNRI,@himakifmipaunri,2021-11-26T12:55:54.000Z,literaksi jilid rupa lanjut program kerja literaksi belum dari dinas advokesma yang tuju untuk asah pola pikir kritis mahasiswa ikut kembang isu yang jadi di lingkung kampus utama problemik leceh seksual seperti saat sekarang ini
88,awrchita,@awrchita,2021-11-26T12:33:53.000Z,lembur sambil dengar mata najwa yang ringkus predator seksual kampus jadi malah emosi dan linang air mata
89,MbahTo581809,@MbahTo581809,2021-11-26T11:46:09.000Z,diskusi publik permendikbudristek no tahun legal seks bebas dengan alas cegah keras seksual di lingkung kampus menteri didik dan budaya nadiem makarim keluar permendikbud nomor tahun tentang cegah dan tangan keras seksual ppks
90,txtfromMIWF,@makassarwriters,2021-11-26T07:20:42.000Z,nah untuk itu aku mau ajak kamu isi survei ini
91,Jaringan GUSDURian,@GUSDURians,2021-11-26T06:41:23.000Z,keras seksual di lingkung kampus rupa rahasia umum bagai upaya harus laku untuk jadi kampus bagai tempat aman bagi semua elemen apakah permendikbud no tahun bisa wujud simak papar malam ini daftar
92,Justisia Online,@justisiacom,2021-11-26T06:14:39.000Z,mahasiswa gelar aksi depan kampus suara anti keras seksual acyaiwads jadi aksi yang laku oleh mahasiswa universitas islam negeri wali songo di depan gerbang kampus universitas islam negeri wali songo semarang pada kamis sore aksi yang laku
93,Majalah Tempo,@temponewsroom,2021-11-26T06:06:18.000Z,atur yang keluar menteri nadiem telah isi kosong atur atas lindung korban keras seksual di kampus kita tahu bertahuntahun bahas undangundang hapus keras seksual masih mandek di dewan wakil rakyat views
94,Majalah Tempo,@temponewsroom,2021-11-26T06:00:41.000Z,andai saja semua orang jujur aku betapa gawat leceh seksual di kampuskampus harus tak ada lagi tolak atas atur cegah dan tangan wabah tahun itu simak opini tempo hanya di opini tempo budaya riset dan teknologi sebut dosen aku bahwa keras seksual pernah
95,PKBI DIY,@pkbidiy,2021-11-26T05:49:06.000Z,kalau kita mau tarik mundur beberapa hari juga kita dapat kasus keras di salah satu kampus negeri berita keras seksual di pesantren pun kita dapat di bulan ini
96,Karina,@carinvorous,2021-11-26T05:13:38.000Z,saya yakin kasus pelecehankekerasan seksual banyak bukan hanya di lingkung kampus hanya saja betul baru pak nadiem ini yang berani fasilitas sehingga institusi pt rasa aman dan harus lindung korban sehingga lapor pun makin banyak
97,Koran Tempo,@korantempo,2021-11-26T04:54:34.000Z,ungkap kasus leceh dan keras seksual di lingkung kampus terus tambah perintah mesti segera laku situasi darurat
98,Koran Tempo,@korantempo,2021-11-25T20:03:37.000Z,ungkap kasus leceh dan keras seksual di lingkung kampus terus tambah perintah mesti segera laku situasi darurat utm sourcedigitalmarketingutm mediumtwitterutm campaigndlvrit
99,Jeni Nata Widianingrum #FNI #TT,@NyiMasRuminah,2021-11-25T15:48:13.000Z,siapa lagi yang buat masalah keliru persepsi hadap permendikbud ristek selain pihak buzzer oposisi padahal atur sebut buat untuk cegah jadi keras seksual di lingkung kampus
100,Sahabat Demokrat Banjarnegara,@angetmendoane,2021-11-25T15:46:40.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
101,EM UB 2021,@EM_UBOfficial,2021-11-25T14:54:15.000Z,sasar permendikdubristek ppks adalah cegah dan tangan tidak sebelas mungkin jadi keras seksual yang timpa hubung antar mahasiswa didik tenaga didik warga kampus dan masyarakat umum yang interaksi dengan mahasiswapendidik dan lain lain
102,DPC Partai Demokrat Kab Banjarnegara,@Banjarnegara_PD,2021-11-25T14:12:17.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
103,Rumail Abbas,@Stakof,2021-11-25T13:39:37.000Z,curiga boleh saja tapi mboya yang ndalan seperti permendikbud yang curiga legal seks bebas lah faktual justru kasus keras seksual di kampus kian tambah ini bukti kalau permendikbud jadi pelampung yang selamat
104,John Moll,@JohnMol72896469,2021-11-25T13:38:39.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
105,Sahabat Demokrat Banjarnegara,@angetmendoane,2021-11-25T12:17:46.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
106,Didik_Riotama,@Riotama_didik,2021-11-25T12:15:48.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono e
107,Destya,@9Destya,2021-11-25T12:01:21.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono a
108,Destya,@9Destya,2021-11-25T11:55:59.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono c
109,BandungBergerak.id,@Bandung3ergerak,2021-11-25T11:51:10.000Z,permendikbudristek ppks kini gelinding di kampuskampus yang harus segera bentuk satu tugas cegah dan tangan keras seksual ppks universitas negeri semarang dukung universitas negeri semarang dukung
110,UN Women Indonesia,@unwomenid,2021-11-25T11:32:21.000Z,apa saja yang masih jadi tantang dalam cegah tangan keras seksual di kampus simak video singkat ikut dan ikut diskusi virtual lawan keras bas gender di universitas jumat november waktu indonesia bagi barat zoom link
111,Lim Riana,@BakomstraJ,2021-11-25T10:33:30.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
112,Winston Rondo,@WinstonRondo1,2021-11-25T10:30:34.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
113,્᭄͜͡⍣ᥡᥙͥᥰͣᴉͫᥱ⍣࿐͓̽⋆,@artyunie76,2021-11-25T10:26:22.000Z,presiden pro didik mendikbudristek sampai topik utama permendikbud ristek adalah cegah keras seksual di lingkung kampus dengan ada atur sebut bukan arti tindak lain di luar fokus keras seksual boleh di laku
114,Mimbar Untan,@MimbarUntan,2021-11-25T10:22:41.000Z,bagaimana kampus tindak untuk korban leceh seksual the ikut media includes potentially sensitive content change settings view
115,Tribun Mataraman,@TribunMataraman,2021-11-25T10:18:29.000Z,dosen unej vonis salah dan jatuh hukum tahun penjara karena keras seksual begini tanggap kampus unej begini tanggap unej
116,Haluan Riau,@HaluanRiau_,2021-11-25T10:18:02.000Z,rektorat unri bentuk tim satu tugas antisipasi jadi leceh seksual di kampus kini bentuk tim satu tugas antisipasi leceh seksual
117,LOXE,@intandyhfff,2021-11-25T10:15:05.000Z,marak kasus lecah seksual yang jadi di kampus buat olah tidak ada tempat aman bagi perempuan bagaimana islam sikap hal sebut karena jelas dalam alquran wanita sangat mulia hingga jadi nama buah surat
118,serealia,@crenatas,2021-11-25T10:12:25.000Z,haru sendiri tadi pas jalan nglewatin kampus lihat mahasiswa lagi demo bawa spanduk kampus harus aman dari keras seksual
119,RickyFightBack,@RickyFight,2021-11-25T08:56:27.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
120,CAKRA AHY KALTIM,@cakraahykaltim,2021-11-25T08:54:20.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
121,CAKRA AHY KALTIM,@cakraahykaltim,2021-11-25T08:54:16.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
122,Indonesia Emas,@indoemas2045_,2021-11-25T08:51:07.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
123,Aslan Laeho,@aslan_laeho,2021-11-25T08:46:09.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono the ikut media includes potentially sensitive content change settings view
124,Destya,@9Destya,2021-11-25T08:45:46.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
125,Destya,@9Destya,2021-11-25T08:30:15.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
126,Harmawan,@Harmawa70517350,2021-11-25T08:27:38.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
127,Sahabat Demokrat Banjarnegara,@angetmendoane,2021-11-25T08:23:33.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
128,To'pe Rendusara,@TRendusara,2021-11-25T08:22:28.000Z,pada minta surat buka korban leceh seksual di kampus tanggap serius pada bareng agus harimurti yudhoyono
