,account_name,username,post_date,tweet,emojis,reply_count,retweet_count,like_count
18,ely,@ichigummmy,2021-12-03T05:25:39.000Z,"kampus di Indonesia kenapa pada ramah predator seksual fak
AREA JULID
@AREAJULID
 · 8h
Dis! TBL TBL TBL
Kasiiaaaan bgtttttt korban malah lebih jadi korban",,0,0,0
19,"Cek Turnitin 2k, Dapus Mendeley, Daftar Isi",@CekTurnitin2,2021-12-03T04:16:50.000Z,"Replying to 
@collegemenfess
maaf oot, disini boleh spill masalah kasus pelecehan seksual kampus gak? kalau misal boleh mau gak saya titpin menfess, udh miris bgt asli dah 
selama ini saya kawal lewat jalur blkng tp kali ini saya mau terang-terangan udah gak bener ini
1",,0,0,1
20,iNews,@OfficialiNewsTV,2021-12-03T04:09:43.000Z,"Saksikan iNews Siang 'Lagi, Pelecehan Seksual di Kampus', Jumat 3 Desember 2021 hanya di iNews!

#iNewsSiang #iNews",,0,0,0
21,Timo,@callmetimo,2021-12-02T14:13:55.000Z,"Baca-baca review Penyalin Cahaya yang ternyata bahas kekerasan seksual di lingkungan kampus, berarti cocok banget sama konteks Permendikbud no. 30 tahun 2021 ya?
2",,0,0,2
22,BEM FMIPA UNRI,@bemfmipaunri,2021-12-02T13:40:38.000Z,"norma agama.
 .
 Sumber : Suherman, A., Aryani, L., Yulyana, E.. 2021. Analisis Fungsi Peraturan Mentri Pendidikan, Kebudayaan, Riset dan Teknologi Nomor 30 Tahun 2021 dalam Mencegah Kekerasan Seksual di Kampus. Jurnal Ilmiah Wahana Pendidikan. 7 (7) : 173-182
.
Sekian Jurnal
1",,1,0,0
23,BEM FMIPA UNRI,@bemfmipaunri,2021-12-02T13:40:03.000Z,"seksual di ranah kampus. Pro dan kontra pun tidak terelakkan diantara keduanya. Secara filosofis, pembentukan PPKS dinilai masih sejalur, meski terdapat
segelintir pasal yang dinilai menentang falsafah Pancasila dan pembukaan UUD 1945.
.
Namun, banyak terkandung poin keadilan
1",,1,0,0
24,BEM FMIPA UNRI,@bemfmipaunri,2021-12-02T13:39:30.000Z,"Peraturan Mentri Pendidikan, Kebudayaan, Riset dan Teknologi Nomor
30 Tahun 2021 dalam Mencegah Kekerasan Seksusal di Kampus"". Selamat membaca!
.
Maraknya kasus kekerasan seksual di ranah perguruan tinggi, mengakibatkan Kemendikbudristek RI melahirkan regulasi yang dinamakan dW
1",,1,0,0
25,Clapeyron UGM,@MediaClapeyron,2021-12-02T13:02:59.000Z,"Lalu, apakah Permendikbud ini memang penting untuk menghapus kekerasan seksual di lingkungan kampus seperti yang diharapkan? Atau malah menjadi prahara karena dianggap melegalkan seks bebas? 

Yuk, simak selengkapnya opini ini pada tautan berikut!
clapeyronmedia.com
Permendikbud 30 Bergema di Luar Konteks
Kampus seharusnya menjadi tempat yang aman untuk belajar, berkarib, berekspresi, serta mengembangkan beragam potensi…
2
6",,0,2,6
26,Clapeyron UGM,@MediaClapeyron,2021-12-02T13:02:57.000Z,"Meskipun bukan merupakan isu baru, ihwal terkait kekerasan seksual tetap harus segera diselesaikan sebelum peristiwa ini dinormalisasikan di kampus-kampus di Indonesia.
1
4",,1,0,4
27,Clapeyron UGM,@MediaClapeyron,2021-12-02T13:02:57.000Z,"Kasus ini sebenernya sudah bukan kasus baru lagi, akan tetapi belakangan ini, kasus mengenai isu pelecehan seksual kembali menjadi buah bibir lantaran kejadian pelecehan seksual yang baru saja dialami oleh mahasiswi di lingkungan kampus.
1
4",,1,0,4
28,PSIK ITB,@PSIKITB,2021-12-02T11:23:34.000Z,"Kampus yang seharusnya menjadi tempat aman bagi mahasiswa, kini dihantui oleh bayang-bayang pelecehan seksual. Ketika nama baik kampus lebih penting daripada pengusutan tindakan asusila, saat itu kita tahu bahwa kultur sosial dan sistem hukum di Indonesia sedang memprihatinkan.
1",,1,0,0
29,Kompas Muda,@kompasmuda,2021-12-02T11:02:42.000Z,Ini adalah peraturan tentang pencegahan kekerasan seksual di kampus.,,0,0,0
30,Kompas Muda,@kompasmuda,2021-12-02T11:00:02.000Z,"Korban kekerasan seksual sering kali menjadi “silent victim"" karena merasa tidak adanya perlindungan hukum. Nah, sebenarnya ada peraturan apa saja yang berisi tentang pencegahan kekerasan seksual di kampus? Cek di sini. #InfoMuda https://bit.ly/31lvnyD
1
3
2",,1,3,2
31,kumparan,@kumparan,2021-12-02T01:44:05.000Z,"Simak upaya yang dapat dilakukan untuk memberantas kekerasan seksual di kampus! #kumparanWOMAN
kumparan.com
The Body Shop Indonesia Dukung Gerakan Anti Kekerasan Seksual di Kampus
Simak upaya yang dapat dilakukan untuk memberantas kekerasan seksual di kampus! #kumparanWOMAN
1",,1,0,0
32,Mujahid Dakwah Com,@mujahiddakwah,2021-12-01T22:57:15.000Z,"Sekularisme dan Kejahatan Seksual di Kampus https://mujahiddakwah.com/2021/11/sekularisme-dan-kejahatan-seksual-di-kampus/… lewat @https://twitter.com/mujahiddakwah
mujahiddakwah.com
Sekularisme dan Kejahatan Seksual di Kampus | Mujahid Dakwah
Pers Media Islam, Artikel Dakwah, Berita Dunia Islam, Jihad Media, Palestina, Indonesia, Kabar Ummat, Ghazwul Fikr, Khazanah dan Sejarah Peradaban Islam",,0,0,0
33,Rachmadin Ismail,@madin_ismail,2021-12-01T21:31:20.000Z,"Kami ingin ikut berkontribusi terkait isu kekerasan seksual di kampus. Berikut kumpulan artikel terkait trauma psikologis sampai tips melawan pelaku. Semoga bermanfaat. #permendikbud30
hellosehat.com
Trauma Korban Kekerasan Seksual • Hello Sehat
Korban kekerasan seksual bisa mengalami trauma mengerikan. Lawan pelakunya, lindungi korbannya.",,0,0,0
34,Pojokjakarta.com,@Pojokjakarta_,2021-12-01T18:16:27.000Z,"Rantai Kejahatan Seksual Kampus, Bisakah Diberantas?
pojokjakarta.com
Rantai Kejahatan Seksual Kampus, Bisakah Diberantas?
Baru-baru ini, dikabarkan seorang mahasiswa di Unsri melaporkan polisi atas kasus pelecehan seksual yang dialaminya saat bimbingan skripsi. Ini adalah salah satu rantai kejahatan seksual kampus yang...",,0,0,0
35,MARQUEZ,@MARQUEZ__93,2021-12-01T17:04:56.000Z,"Dosen Bejat, Pak 
@nadiemmakarim
 Jangan hanya ada sanksi administratif aja Pecat tdk hormat. 
Mahasiswi Universitas Sriwijaya (Unsri) korban dugaan pelecehan seksual dihadirkan Polda Sumatera Selatan saat olah TKP di kampus Unsri Indralaya, Ogan Ilir.
sumsel.tribunnews.com
DR Mahasiswi Unsri Korban Dugaan Pelecehan Oknum Dosen Menangis saat Olah TKP Polda Sumsel -...
DR diminta menunjukkan saat-saat mendapat perlakuan senonoh oknum dosen. Saat memeragakan salah satu adegan, DR menangis hingga terdengar dari lu
1
7
31",,1,7,31
36,Dewan Mahasiswa Fisipol UGM,@demafisipol_ugm,2021-12-01T15:36:14.000Z,"[Unit-unit Penanganan dan Pencegahan Kekerasan Seksual di UGM dan Prosedur Pelaporannya]

Halo Kawan Dema!

Dalam upaya mewujudkan kampus yang aman dari kekerasan seksual, terdapat beberapa unit penanganan dan pencegahan kekerasan seksual di UGM loh!
1
5
21",,1,5,21
37,Rew-B,@rubyastari,2021-12-01T15:07:14.000Z,"Para dosen di sejumlah universitas yang tergabung dalam Serikat Pengajar Hak Asasi Manusia menyatakan dukungannya pada pemerintah untuk menghentikan kekerasan seksual di kampus
konde.co
Para Dosen HAM Ajak Kampus Stop Kekerasan Seksual dan Dukung Permendikbud PPKS - Konde.co
Para dosen di sejumlah universitas yang tergabung dalam Serikat Pengajar Hak Asasi Manusia menyatakan dukungannya pada pemerintah untuk menghentikan kekerasan seksual di kampus",,0,0,0
38,IDN Times,@idntimes,2021-12-01T09:02:00.000Z,"Kasus kekerasan seksual di kampus banyak ditemukan. Menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) Nadiem Makarim mengatakan, sebanyak 77 persen dosen mengakui adanya tindak kekerasan seksual terjadi di kampus. 

https://bit.ly/3rmMuuz",,0,0,0
39,rinii haloho,@riniihaloho,2021-12-01T08:44:56.000Z,"Pelecehan seksual di kampus? Ada. Yg ngga kalah serem adalah pelecehan di kosan oleh bapak kos! 

Apa lagi kalo ibukosnya denial ntk menjaga nama baik suaminya.",,0,0,0
40,LPM INTR-O | MAJALAH EDISI TUJUH TELAH TERBIT!!,@lpmintro,2021-12-01T08:22:21.000Z,"Apakah ULM menghadapi fenomena serupa? Bagaimana tanggapan civitas akademika mengenai fenomena tersebut?

Saksikan selengkapnya di REALITA: Langkah Kampus Perangi Predator Seksual
•
•
•
#newscast #lpmintro #fisipulm #langkahkampusperangipredatorseksual",,0,0,0
41,LPM INTR-O | MAJALAH EDISI TUJUH TELAH TERBIT!!,@lpmintro,2021-12-01T08:22:20.000Z,"Belakangan ini isu mengenai kasus pelecehan seksual di lingkungan kampus semakin tersoroti dan menjadi perbincangan hangat. Realita tak seindah Harapan, lingkungan kampus yang seharusnya menjadi tempat yang aman dan menyenangkan bagi mahasiswa justru menjadi hal yang sebaliknya.
0:27
37 views
1
1
1",,1,1,1
42,𝑨𝒌𝒊𝒗𝒂 @ H-1 ULTAH!!!,𝑨𝒌𝒊𝒗𝒂 @ H-1 ULTAH!!!,2021-12-01T07:44:48.000Z,"Gue emosi deh sama orang yang sok sok komen di instagram pas kejadian kekerasan seksual di kampus terjadi, padahal dia juga predator. 
2",,2,0,0
43,COLLE | CEK LIKES,@collegemenfess,2021-12-01T07:30:27.000Z,"[cm] Hii, ada yg bisa bantu isi kuisioner tentang pelecehan seksual di lingkungan kampus? Nanti linknya ak taruh di komen ya atau aku dm, makasiii
6
2",,6,0,2
44,khadijah almuhdor,@khadijahmuhdor,2021-12-01T06:52:38.000Z,"bangga liat organisasi mahasiswa dengan tegas mecatin anggotanya yang terbukti melakukan tindakan kekerasan seksual soalnya kalo di tingkat rektorat masih sibuk jaga ""nama baik"" kampus.
1
2",,0,1,2
45,kondedotco,@konde_co,2021-12-01T05:50:57.000Z,"Para dosen di sejumlah universitas yang tergabung dalam Serikat Pengajar Hak Asasi Manusia menyatakan dukungannya pada pemerintah untuk menghentikan kekerasan seksual di kampus
konde.co
Para Dosen HAM Ajak Kampus Stop Kekerasan Seksual dan Dukung Permendikbud PPKS - Konde.co
Para dosen di sejumlah universitas yang tergabung dalam Serikat Pengajar Hak Asasi Manusia menyatakan dukungannya pada pemerintah untuk menghentikan kekerasan seksual di kampus
1",,0,0,1
46,KalderaNews,@kalderanews,2021-12-01T05:50:30.000Z,"Kekerasan Seksual di Kampus Seperti Puncak Gunung Es, Ayo Laporkan!... -
kalderanews.com
Kekerasan Seksual di Kampus Seperti Puncak Gunung Es, Ayo Laporkan! – http://www.kalderanews.com
Permendikbud Ristek Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Seksual (PPKS) di Perguruan Tinggi (PT).",,0,0,0
47,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:30:58.000Z,"Yuk, teman-teman swipe foto di atas untuk mencari tahu lebih lanjut mengenai maraknya kekerasan seksual  di kampus!

Narahubung:
Fella (081904183217)

Pantau terus lini masa kami:
Instagram: 
@rumpanfkmui
Line: @anz0007b

PIK-R Rumah Panda 2021
Bersama Menggapai Cita",,0,0,0
48,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:30:10.000Z,"Apa sebenarnya definisi dari kekerasan seksual?
Apa saja bentuk kekerasan seksual?
Bagaimana peran kampus serta mahasiswa untuk menciptakan suasana kampus yang bebas dari kekerasan seksual?
1",,1,0,0
49,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:29:48.000Z,"—mengenai apa saja kegiatan yang termasuk kekerasan seksual. Untungnya, pemerintah akhirnya menerbitkan PERMENDIKBUD No. 30 Tahun 2021 yang mencakup segala hal yang berhubungan dengan kekerasan seksual di kampus.
1",,1,0,0
50,Rumah Panda FKM UI,@RumpanFKMUI,2021-11-30T13:28:04.000Z,"[REPROVIDE 10: MARAKNYA KEKERASAN SEKSUAL DI LINGKUNGAN KAMPUS]

Baru-baru ini kita dikejutkan oleh kasus kekerasan seksual yang terjadi di salah satu kampus di Indonesia.
1
8
5",,1,8,5
51,BEM UI,@BEMUI_Official,2021-11-30T13:15:44.000Z,"Disahkannya Permendikbud PPKS atas jawaban dari urgensi penanganan kekerasan seksual dalam lingkungan kampus menimbulkan banyak ""pro"" dan kontra dari berbagai pihak.
1",,1,0,0
52,WAHANANEWS PAPUA,@PapuaWahananews,2021-11-30T11:13:59.000Z,"Bersama Menciptakan Kampus yang Bebas Kekerasan Seksual https://papua-barat.wahananews.co/serba-serbi/bersama-menciptakan-kampus-yang-bebas-kekerasan-seksual… #Kekerasanseksual
papua-barat.wahananews.co
Bersama Menciptakan Kampus yang Bebas Kekerasan Seksual - Wahana News Papua Barat
Wahananews-Papua Barat | Kekerasan seksual dapat terjadi baik di ranah domestik maupun publik, tak terkecuali di institusi pendidikan. ",,0,0,0
53,WAHANANEWS PAPUA,@PapuaWahananews,2021-11-30T11:13:37.000Z,"Bersama Menciptakan Kampus yang Bebas Kekerasan Seksual
papua-barat.wahananews.co
Bersama Menciptakan Kampus yang Bebas Kekerasan Seksual - Wahana News Papua Barat
Wahananews-Papua Barat | Kekerasan seksual dapat terjadi baik di ranah domestik maupun publik, tak terkecuali di institusi pendidikan. ",,0,0,0
54,TII,@the_indonesian,2021-11-30T02:17:55.000Z,"Langkah Maju Penanganan Kekerasan Seksual di Kampus
theindonesianinstitute.com
Langkah Maju Penanganan Kekerasan Seksual di Kampus
Pada tanggal 31 Agustus lalu, Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi (Mendikbud-Ristek), Nadiem Anwar Makarim meneken Peraturan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi...
1
1",,0,1,1
55,hukum kep1er,@tinderberjalan,2021-11-30T01:58:40.000Z,"ada aja deh kelakuan salah satu orang menormalisasikan kekerasan seksual di kampus dengan sebatas ""dosen juga manusia. punya nakal dan sangenya. mending dicuekin aja atauga diomongin baik-baik.""
1
1",,1,0,1
56,Harian Kompas,@hariankompas,2021-11-30T01:30:00.000Z,"Kasus kekerasan seksual di kampus seperti puncak gunung es yang sangat dingin dan sulit terpecahkan akar masalahnya. Bahkan korban menjadi “silent victim” karena tidak adanya perlindungan hukum. #Riset 
@KompasData
 #AdadiKompas
kompas.id
Puncak Gunung Es Kekerasan Seksual di Kampus
Kasus kekerasan seksual di kampus seperti puncak gunung es yang sangat dingin dan sulit terpecahkan akar masalahnya, bahkan korban menjadi “silent victim” karena tidak adanya perlindungan hukum.
2
10
18",,2,10,18
57,BaleBengong,@BaleBengong,2021-11-29T23:10:17.000Z,"Kabar baru - Jaga Nama Baik Kampus dengan Menangani Kasus Kekerasan Seksual by Juni -  https://balebengong.id/?p=286796
5
2",,0,5,2
58,,@johanadhi,2021-11-29T23:03:17.000Z,"Puncak Gunung Es Kekerasan Seksual di Kampus 
@okkymadasari
 @tunggalp
 @liesmarcoes
 @mardiasih
 @OlgaLy_DIA
 @lyndaibrahim
 @AlissaWahid
1
3
14",,1,3,14
59,MediaMonitoring,@mediamonitor21,2021-11-29T21:51:13.000Z,"Puncak Gunung Es Kekerasan Seksual di Kampus
kompas.id
Puncak Gunung Es Kekerasan Seksual di Kampus
Kasus kekerasan seksual di kampus seperti puncak gunung es yang sangat dingin dan sulit terpecahkan akar masalahnya, bahkan korban menjadi “silent victim” karena tidak adanya perlindungan hukum.",,0,0,0
60,Rendy Siregar,@RendySiregar90,2021-11-29T19:04:17.000Z,"Maka dari itu, Permendikbud Nomor 30 menjadi langkah terang bagi keresahan akan permasalahan pelecehan dan kekerasan di perguruan tinggi. Mari jadikan kampus sebagai ruang aman! Jangan takut untuk melaporkan kasus pelecehan dan kekerasan seksual.",,0,0,0
61,Arief Setiawan II,@Arief_2792,2021-11-29T15:24:10.000Z,"Replying to 
@knupisback
 and 
@tubirfess
Karena salah satu syarat akreditasi kampus yg baik adalah kampus tersebut aman dr pelecehan seksual",,0,0,0
62,Arief Setiawan II,@Arief_2792,2021-11-29T15:23:35.000Z,"Replying to 
@Bheesma4
 and 
@OposisiCerdas
Tentu saja bisa, karena salah satu syarat akreditasi kampus yg baik adalah kampus tersebut aman dr pelecehan seksual, sprt yg dilakukan oleh habib Rizieq kepada Firza Husein beberapa tahun silam",,0,0,0
63,The Conversation Indonesia,@ConversationIDN,2021-11-29T05:01:17.000Z,"Permendikbudristek PPKS adalah momentum baru bagi upaya pemberantasan kekerasan seksual di kampus.

Apa yang berubah? Bagaimana kampus bisa mulai menerapkannya?

Di episode ini, kami ngobrol dengan Lidwina Inge, dosen hukum dan gender di 
@univ_indonesia
:
https://open.spotify.com/episode/5lzeS735b6xKMrQFPq7mtw?si=0a8625605ba848d1…
6
17",,0,6,17
64,BaleBengong,@BaleBengong,2021-11-29T04:25:30.000Z,"https://bit.ly/2ZCMOdq laporan lengkap tentang kasus kekerasan seksual di kampus dari Persma Akademika, Unud. Sangat mungkin terjadi di kampus2 lain. Apakah ditangani?
persakademika.com
Kasus Kekerasan Seksual Menerpa, Unud Bisa Apa? - Pers Akademika
*Seluruh isi tulisan ini telah diterbitkan atas izin penyintas* Kasus kekerasan seksual kembali terungkap di Universitas Udayana, Bali. Tidak sedikit pelaporan jumlah kasus, namun langkah
4
9",,0,4,9
65,MNC College,@mnc_college,2021-11-29T02:43:05.000Z,"Hi MNC Pals,

Lingkungan kampus yang aman dan nyaman pasti menjadi impian tiap civitas akademika Perguruan Tinggi. Dengan lingkungan yang kondusif, aktivitas kampus pasti dapat berjalan dengan lebih baik, Pals!
Yuk, kita ciptakan suasana kampus yang bebas dari kekerasan seksual!",,0,0,0
66,JPNN.com,@jpnncom,2021-11-29T00:05:02.000Z,"KAMMI DIY menyebut Permendikbudristek tentang Pencegahan dan Penanganan Kekerasan Seksual (PPKS) di kampus bermasalah. #Permendikbudristek
m.jpnn.com
Curigai Ideologi Susupan, KAMMI DIY Tolak Permendikbudristek PPKS
KAMMI DIY menyebut Permendikbudristek tentang Pencegahan dan Penanganan Kekerasan Seksual (PPKS) di kampus bermasalah.
2",,0,0,2
67,cstempodotco,@cstempodotco,2021-11-28T23:20:07.000Z,"KORAN TEMPO
Senin, 22 November 2021

BERITA UTAMA
Gunung Es Kekerasan Seksual di Kampus

Baca berita selengkapnya disitus https://koran.tempo.co

Informasi berlangganan Klik https://langganan.tempo.co atau hubungi:
08771146002
08121283676",,0,0,0
68,Tuty Herawati,@TutyHer4ww,2021-11-28T21:58:22.000Z,"Mendukung Permendikbud Ristek 30 / 2021 tentang PPKS di lingkungan perguruan tinggi. Permen ini menjadi langkah awal untuk melawan kekerasan seksual di kampus dan melindungi penyintas serta memberikan akses keadilan bagi penyintas. #bersamaberjuangmelawanks #kampusmerdekaks #bwcc
1",,1,0,0
69,medcom_id,@medcom_id,2021-11-28T08:13:52.000Z,"Perlu Ada Mekanisme Pelaporan Kekerasan Seksual dan Perundungan di Kampus
medcom.id
Perlu Ada Mekanisme Pelaporan Kekerasan Seksual dan Perundungan di Kampus
Untuk menciptakan kampus aman, perlu ada upaya bersama dari setiap elemen kampus.",,0,0,0
70,Catur Priono,@CaturPriono6,2021-11-28T08:08:12.000Z," *SAKSIKAN LIVE*

Diterbitkannya Permendikbud 30/21 menuai banyak pro kontra. Pemerintah mengklaim permendikbud ini untuk mengurangi kekerasan seksual yang belakangan marak di kampus-kampus. Sementara pihak yang kontra menuding permendikbud ini punya potensi untuk melegalkan",,0,0,0
71,IDN Times Jabar,@IDNTimesJabar,2021-11-28T08:06:32.000Z,"Lingkungan kampus harus tetap aman dari preadator seksual
jabar.idntimes.com
Kampus Wajib Jamin Pelaporan Korban Kekerasan Seksual dan Perundungan
Lingkungan kampus harus tetap aman dari preadator seksual
1
1",,0,1,1
72,txtfromMIWF,@makassarwriters,2021-11-28T07:21:40.000Z,"Buat kamu di Maluku, Nusa Tenggara dan Bali, Webinar Goes to Campus “Bersama Menciptakan Kampus yang Bebas dari Kekerasan Seksual” akan digelar.
1
3
2",,1,3,2
73,Bali Women Crisis Centre (BWCC),@LBHBWCC,2021-11-28T06:30:42.000Z,"Mendukung Permendikbud Ristek 30/2021 tentang PPKS di lingkungan perguruan tinggi. Permen ini menjadi langkah awal untuk melawan kekerasan seksual di kampus dan melindungi penyintas serta memberikan akses keadilan bagi penyintas.
#bersamaberjuangmelawanks #kampusmerdekaks #bwcc
1
1",,1,1,0
74,Suryanto,@Suryant33165310,2021-11-28T06:21:38.000Z," *SAKSIKAN LIVE*

Diterbitkannya Permendikbud 30/21 menuai banyak pro kontra. Pemerintah mengklaim permendikbud ini untuk mengurangi kekerasan seksual yang belakangan marak di kampus-kampus. Sementara pihak yang kontra menuding permendikbud ini punya potensi untuk melegalkan",,0,0,0
75,COLLEGE / KAMPUS BASE,@schcampus,2021-11-27T13:22:47.000Z,"DISKUSI PANEL : ARAH 2021

""Sudahkah Negara Melindungi Korban Pelecehan Seksual?"" 

Halo Anak Muda Indonesia
Maraknya terjadi pelecehan seksual baik terhadap perempuan maupun laki-laki. Lalu, bagaimana aparat penegak hukum menangani kasus pelecehan seksual?
1
3
4",,1,3,4
76,KABARWARGA.COM FOR SALE!!,@kabarwarga,2021-11-27T11:58:37.000Z,"Permendikbudristek PPKS: Apa Manfaatnya Bagi Pemberantasan Kekerasan Seksual Di Kampus? -
kabarwarga.com
Permendikbudristek PPKS: Apa Manfaatnya Bagi Pemberantasan Kekerasan Seksual Di Kampus? - www.kab...
Beberapa waktu lalu, Nadiem Makarim menerbitkan Peraturan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan",,0,0,0
77,Gerakan Perempuan UNJ,@Gerpuan_unj,2021-11-27T11:32:57.000Z,"Sudah tahu Permendikbud No. 30?
Yuk ikutan webinar yg diadakan oleh UPT-LBK UNJ untuk tahu lebih jauh!

Dengan Tema
*Kekerasan Seksual di Kampus: Apa yang dapat kita lakukan?*
⁣
Catat Tanggalnya!
 Hari/Tanggal: Senin, 29 November 2021⁣
 Pukul: 14.00 - 16.00 WIB⁣
1
1
3",,1,1,3
